Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,1,36,0,0,0
2019,0,11,23,2,0,0
2020,0,2,26,0,0,0
2021,0,3,15,0,0,0
2022,0,2,17,0,0,0
2023,0,1,12,0,0,0
