Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,42,289,41,0,0,0
2019,33,308,40,0,0,0
2020,20,228,151,0,0,0
2021,124,294,239,1,2,0
2022,150,266,188,3,1,0
2023,227,342,205,8,0,1
