Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,59,341,129,35,1,0
2019,57,409,145,18,0,0
2020,11,299,157,13,2,0
2021,51,418,229,47,4,0
2022,117,360,183,58,9,0
2023,99,427,178,89,7,1
