Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,1846,4068,2055,254,18,0
2019,1606,3939,1785,286,31,0
2020,1224,3154,1500,166,37,8
2021,1808,4936,1710,391,136,17
2022,2082,5491,1949,496,349,26
2023,2001,5138,1992,608,127,104
