Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,530,1372,880,714,1360,1098
2019,466,1420,912,466,1037,1148
2020,388,1152,538,409,716,807
2021,597,1270,579,609,481,700
2022,715,1327,621,660,535,666
2023,615,1429,628,643,645,1100
