Bridge,Daily Trips,Total Trips
LEWIS AND CLARK RIVER ,0.0,0.0
LICATA (FL),0.0,0.0
MACOMBS DAM ,0.0,0.0
MADISON AVENUE ,0.0,0.0
MARQUAM ,0.0,0.0
MD 2 over SOUTH RIVER (MD),0.0,0.0
MILLARD E TYDINGS MEMORIAL  (MD),0.0,0.0
MILLER SWEENEY ,0.0,0.0
MORRISON ,0.0,0.0
NEW YOUNGS BAY ,0.0,0.0
NUECES BAY CAUSEWAY,0.0,0.0
OLIVER  (MN-WI),0.0,0.0
PARK STREET ,0.0,0.0
PASSYUNK AVENUE ,0.0,0.0
PLATT STREET (FL),0.0,0.0
PORT MIAMI ,0.0,0.0
R. CLAYTON MITCHELL JR  (MD),0.0,0.0
RFK  BRONX CROSSING,0.0,0.0
RFK  HARLEM RIVER LIFT SPAIN,0.0,0.0
RIVA ROAD over SOUTH RIVER (MD),0.0,0.0
ROSS ISLAND ,0.0,0.0
ROUTE 163 MARINA DR,0.0,0.0
ROUTE 90 BATTLESHIP PKWY,0.0,0.0
S WALNUT ST OVER CHRISTINA RIVER(DE),0.0,0.0
SAN LEANDRO BAY BIKE ,0.0,0.0
SELLWOOD ,0.0,0.0
SELMON EXPY(FL),0.0,0.0
"SENATOR JOHN E REILLY, SR (DE)",0.0,0.0
SH 146 NB over DICKINSON BAYOU (TX),0.0,0.0
SIDEROAD LT-212TH over POSEY CREEK (KS),0.0,0.0
SNELL ISLE BLVD NE(FL),0.0,0.0
SOUTH PLANT AVENUE (FL),0.0,0.0
SR-105 SB over DUNN CREEK(FL),0.0,0.0
SUNRISE BOULEVARD ,0.0,0.0
SUNSHINE SKYWAY FISHING PIER(FL),0.0,0.0
THIRD AVENUE ,0.0,0.0
TILIKUM CROSSING ,0.0,0.0
TURKEY POINT ROAD over SELBY BAY (MD),0.0,0.0
UNIVERSITY HEIGHTS ,0.0,0.0
US-17 (SR-15) over DOCTORS INLET(FL),0.0,0.0
US-17 SB (SR-15) over ORTEGA RIVER & RD.(FL),0.0,0.0
US-41 (SR-45) over PALM RIVER(FL),0.0,0.0
WANAMAKER AVE OVER DARBY CREEK,0.0,0.0
WASHINGTON ,0.0,0.0
WEST CASS ST (FL),0.0,0.0
WEST VENICIAN CAUSEWAY ,0.0,0.0
WILLIS AVENUE ,0.0,0.0
