Bridge,Daily Trips,Total Trips
VERAZZANO NARROWS (NY),8.621384750219105,19674.0
TALMADGE MEMORIAL (GA),5.881682734443471,13422.0
GOLDEN GATE (CA),5.519719544259422,12596.0
SAN FRANCISCO OAKLAND BAY (CA),4.705521472392638,10738.0
CHESAPEAKE BAY (MD),2.64022787028922,6025.0
FRANCIS SCOTT KEY  (MD),2.5968448729184925,5926.0
BAYONNE  (NY-NJ),2.4215600350569675,5526.0
CRESCENT CITY CONNECTION GREATER NEW ORLEANS  (LA),1.811130587204207,4133.0
SUNSHINE SKYWAY (FL),1.284837861524978,2932.0
VINCENT THOMAS (CA),1.2467134092900964,2845.0
DELAWARE MEMORIAL  (DE-NJ),1.2379491673970202,2825.0
COMMODORE BARRY  (PA-NJ),1.053900087642419,2405.0
DAMES POINT (FL),1.044697633654689,2384.0
FRED HARTMAN  (TX),1.0175284837861525,2322.0
DULUTH LIFT (MN),0.8799298860648553,2008.0
W OCEAN BLVD OVER EAST BASIN,0.663453111305872,1514.0
JOHN A BLATNIK (MN-WI),0.6415425065731815,1464.0
HALE BOGGS MEMORIAL  (LA),0.6042944785276073,1379.0
HORACE WILKINSON (LA),0.5508326029798423,1257.0
GULFGATE (TX),0.5276073619631901,1204.0
HUEY P LONG  (LA),0.5105170902716915,1165.0
GRAMERCY  (LA),0.48773006134969327,1113.0
HUEY P LONG OK ALLEN  (LA),0.4851007887817704,1107.0
HARBOR ,0.48422436459246276,1105.0
SUNSHINE  (LA),0.4482909728308501,1023.0
RICHMOND ,0.4412795793163891,1007.0
ALFRED ZAMPA MEMORIAL (CA),0.3702892199824715,845.0
INTERSTATE 80 EB over CARQUINEZ STRAIT UP RR,0.3698510078878177,844.0
RAINBOW (TX),0.33654688869412797,768.0
VETRANS MEMORIAL (TX),0.33610867659947413,767.0
ASTORIA MEGIER ,0.2712532865907099,619.0
LEWIS AND CLARK ,0.2642418930762489,603.0
SH 87 over INTRACOASTAL CANAL,0.24145486415425066,551.0
HAMPTON ROADS  (VA),0.21954425942156003,501.0
BRICKELL AVE DRAW(FL),0.15687992988606486,358.0
SOUTH MIAMI AVENUE ,0.14899211218229624,340.0
TEXAS BELTWAY 8 (TX),0.13014899211218228,297.0
LA0001 over PORT ALLEN CANAL (LA),0.12532865907099036,286.0
OUTER CROSSING,0.06967572304995617,159.0
BANKHEAD TUNNEL,0.040315512708150744,92.0
LA0082 over OLD ICC L  PRAIRE(LA),0.040315512708150744,92.0
MACARTHUR CAUSEWAY(FL),0.03418054338299737,78.0
ST. JOHNS ,0.03418054338299737,78.0
GALVESTON CAUSEWAY (TX),0.03374233128834356,77.0
SIDNEY SHERMAN  (TX),0.022787028921998246,52.0
HAMPTON ROADS  TUNNELS (VA),0.019281332164767746,44.0
JFK CAUSEWAY,0.013584574934268186,31.0
REDFISH BAY CAUSEWAY,0.012269938650306749,28.0
BENJAMIN FRANKLIN  (PA-NJ),0.010955302366345312,25.0
WALT WHITMAN (PA-NJ),0.010955302366345312,25.0
ANDREWS AVENUE ,0.008764241893076249,20.0
BENICIA MARTINEZ ,0.008764241893076249,20.0
GEORGE MILLER JR MEMORIAL ,0.008764241893076249,20.0
JAMES RIVER  (VA),0.008764241893076249,20.0
SE 17TH STREET ,0.008326029798422436,19.0
CALCASIEU HIGH ,0.007887817703768623,18.0
SE 3RD AVENUE ,0.007887817703768623,18.0
WILLIAM H MARSHALL ,0.0056967572304995615,13.0
GEORGE WASHINGTON ,0.0052585451358457495,12.0
LAFAYETTE RIVER  (VA),0.004820333041191937,11.0
GOETHALS  (NY),0.0043821209465381246,10.0
NB SR 16 OVER TACOMA NARROWS,0.0043821209465381246,10.0
TACOMA NARROWS  (WA),0.0043821209465381246,10.0
BETSY ROSS  (PA),0.003943908851884312,9.0
CALCASIEU RIVER ,0.003943908851884312,9.0
TACONY-PALMYRA ,0.003943908851884312,9.0
SR-105 OVER CLAPBOARD CREEK A(FL),0.003067484662576687,7.0
BALLARD  (WA),0.0021910604732690623,5.0
CROSS BAY VETRANS MEMORIAL ,0.0021910604732690623,5.0
WEST NORFOLK  (VA),0.0021910604732690623,5.0
FREEMONT ,0.0017528483786152498,4.0
GOVERNOR MARIO M CUOMO ,0.0017528483786152498,4.0
GRANBY STREET  (VA),0.0017528483786152498,4.0
MACARTHUR CAUSEWAY ICW (FL),0.0013146362839614374,3.0
ACOSTA (FL),0.0008764241893076249,2.0
FEC STRAUSS TRUNNION BASCULE (FL),0.0008764241893076249,2.0
