MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367353660,2019-01-03T18:27:19,40.696,-74.1215,6.6,28.0,28,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2019-01-03T18:29:19,40.699,-74.1195,4.9,24.0,25,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2019-01-03T21:28:09,40.698,-74.1205,7.8,207.0,207,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2019-01-03T21:30:39,40.6935,-74.12333,6.0,206.0,208,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
367353660,2021-01-05T19:11:58,40.69467,-74.1225,7.3,25.0,26,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2021-01-05T19:13:08,40.69667,-74.12117,6.8,28.0,28,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2021-01-05T22:04:39,40.69683,-74.12117,10.4,208.0,208,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2021-01-05T22:05:48,40.69417,-74.123,9.4,207.0,207,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367353660,2018-01-03T18:25:50,40.69467,-74.1225,9.8,27.0,28,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2018-01-03T18:27:01,40.6975,-74.1205,9.3,29.0,28,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2018-01-03T21:25:47,40.6985,-74.12017,11.4,210.0,209,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2018-01-03T21:26:50,40.69533,-74.12233,11.8,209.0,209,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367353660,2020-01-06T18:22:09,40.69517,-74.122,8.7,25.0,27,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2020-01-06T18:23:19,40.6975,-74.1205,7.0,28.0,28,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2020-01-06T21:25:39,40.6995,-74.11933,10.8,206.0,208,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2020-01-06T21:27:00,40.69583,-74.12183,11.4,207.0,208,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367353660,2019-01-07T18:38:58,40.692,-74.12383,7.7,25.0,26,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2019-01-07T18:42:09,40.6975,-74.1205,6.1,28.0,30,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2019-01-07T21:43:48,40.697,-74.12117,11.0,210.0,209,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2019-01-07T21:45:48,40.69133,-74.125,11.8,207.0,208,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
255804570,2022-01-05T02:05:31,40.69674,-74.12131,6.8,207.3,206,HARBOUR FIRST,IMO9473119,CQKM,80,0,144,23,9.0,80,A
255804570,2022-01-05T02:06:41,40.69473,-74.12266,7.1,207.2,206,HARBOUR FIRST,IMO9473119,CQKM,80,0,144,23,9.0,80,A
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
