Bridge,Daily Trips,Total Trips
VERAZZANO NARROWS (NY),10.741454864154251,24512.0
GOLDEN GATE (CA),7.367659947414548,16813.0
SAN FRANCISCO OAKLAND BAY (CA),6.599474145486416,15060.0
TALMADGE MEMORIAL (GA),6.57361963190184,15001.0
CRESCENT CITY CONNECTION GREATER NEW ORLEANS  (LA),5.97020157756354,13624.0
FRED HARTMAN  (TX),5.947414548641542,13572.0
HUEY P LONG  (LA),4.1056091148115685,9369.0
FRANCIS SCOTT KEY  (MD),3.92988606485539,8968.0
CHESAPEAKE BAY (MD),3.923312883435583,8953.0
HALE BOGGS MEMORIAL  (LA),3.77125328659071,8606.0
GULFGATE (TX),3.5683610867659947,8143.0
DELAWARE MEMORIAL  (DE-NJ),3.5035056967572307,7995.0
RAINBOW (TX),3.3422436459246274,7627.0
VETRANS MEMORIAL (TX),3.34136722173532,7625.0
BAYONNE  (NY-NJ),2.9794040315512706,6799.0
HARBOR ,2.635845749342682,6015.0
COMMODORE BARRY  (PA-NJ),2.5122699386503067,5733.0
GRAMERCY  (LA),2.346187554776512,5354.0
SUNSHINE SKYWAY (FL),1.6389132340052586,3740.0
ASTORIA MEGIER ,1.638036809815951,3738.0
LEWIS AND CLARK ,1.5284837861524978,3488.0
VINCENT THOMAS (CA),1.4986853637160387,3420.0
DAMES POINT (FL),1.4802804557405784,3378.0
DULUTH LIFT (MN),1.4636283961437335,3340.0
RICHMOND ,1.287467134092901,2938.0
W OCEAN BLVD OVER EAST BASIN,1.2861524978089396,2935.0
HAMPTON ROADS  (VA),1.2353198948290973,2819.0
TEXAS BELTWAY 8 (TX),1.2099035933391762,2761.0
JOHN A BLATNIK (MN-WI),1.1345311130587203,2589.0
ALFRED ZAMPA MEMORIAL (CA),1.124014022787029,2565.0
INTERSTATE 80 EB over CARQUINEZ STRAIT UP RR,1.123575810692375,2564.0
SUNSHINE  (LA),1.109991235758107,2533.0
HORACE WILKINSON (LA),0.7655565293602103,1747.0
LA0082 over OLD ICC L  PRAIRE(LA),0.6652059596844873,1518.0
BANKHEAD TUNNEL,0.6603856266432954,1507.0
HUEY P LONG OK ALLEN  (LA),0.6007887817703769,1371.0
OUTER CROSSING,0.5254163014899211,1199.0
GOETHALS  (NY),0.3851884312007011,879.0
SH 87 over INTRACOASTAL CANAL,0.28659070990359337,654.0
GEORGE MILLER JR MEMORIAL ,0.2287467134092901,522.0
BENICIA MARTINEZ ,0.2283085013146363,521.0
BRICKELL AVE DRAW(FL),0.15687992988606486,358.0
SOUTH MIAMI AVENUE ,0.14899211218229624,340.0
LA0001 over PORT ALLEN CANAL (LA),0.13234005258545137,302.0
ROBERT F KENNEDY ,0.11744084136722173,268.0
THROGS NECK ,0.11744084136722173,268.0
WHITESTONE ,0.11744084136722173,268.0
WALT WHITMAN (PA-NJ),0.09728308501314636,222.0
BENJAMIN FRANKLIN  (PA-NJ),0.08676599474145487,198.0
GALVESTON CAUSEWAY (TX),0.0740578439964943,169.0
CALCASIEU HIGH ,0.06397896581945661,146.0
