Bridge,Daily Trips,Total Trips
RTE 280 NB ON-RAMP over CHINA BASIN BERRY 6 ST,0.0008764241893076249,2.0
SR 104 over HOOD CANAL (WA),0.0008764241893076249,2.0
SR 104 WESTHALF over HOOD CANAL (WA),0.0008764241893076249,2.0
SR-679 over BUNCES PASS(FL),0.0008764241893076249,2.0
VICTORY ,0.0008764241893076249,2.0
WB I-90 over LAKE WASHINGTON (WA),0.0008764241893076249,2.0
WEST SEATTLE  (WA),0.0008764241893076249,2.0
WILLIAM A. BUGGE (WA),0.0008764241893076249,2.0
3RD STREET (CA),0.00043821209465381246,1.0
AURORA ,0.00043821209465381246,1.0
COLUMBIA DRIVE (FL),0.00043821209465381246,1.0
CURTIS CREEK DRAWS (MD),0.00043821209465381246,1.0
DELGADO MEMORIAL (FL),0.00043821209465381246,1.0
FOX ISLAND  (WA),0.00043821209465381246,1.0
GANDY (FL),0.00043821209465381246,1.0
GOV THOMAS JOHNSON  (MD),0.00043821209465381246,1.0
I-90 over EAST CHANNEL-LK WASH (WA),0.00043821209465381246,1.0
OLD YOUNGS BAY ,0.00043821209465381246,1.0
PELICAN ISLAND CAUSEWAY (TX),0.00043821209465381246,1.0
SANDY HOOK ,0.00043821209465381246,1.0
SR-105 OVER CLAPBOARD CREEK B(FL),0.00043821209465381246,1.0
STEEL ,0.00043821209465381246,1.0
VENETIAN CAUSWAY ,0.00043821209465381246,1.0
4TH STREET (CA),0.0,0.0
79th ST WEST DRAW(FL),0.0,0.0
A1A OVER STRANAHAN RIVER,0.0,0.0
ALEXANDER HAMILTON ,0.0,0.0
AUTOP. JOSE DE DIEGO OVER SAN JUAN HATO REY,0.0,0.0
BEAR CUT ,0.0,0.0
BERKLEY  (VA),0.0,0.0
BRICKELL KEY ,0.0,0.0
BROAD CAUSEWAY ,0.0,0.0
BURNSIDE ,0.0,0.0
CAMPOSTELLA  (VA),0.0,0.0
CARL D BROREIN (FL),0.0,0.0
CHRISTINA RIVER  (DE),0.0,0.0
